entity_id,sepal_length,sepal_width,petal_length,petal_width,species,feature_timestamp
id_102,5.8,2.7,5.1,1.9,virginica,2025/03/11 12:00:00
id_103,7.1,3,5.9,2.1,virginica,2025/03/11 12:00:00
id_104,6.3,2.9,5.6,1.8,virginica,2025/03/11 12:00:00
id_105,6.5,3,5.8,2.2,virginica,2025/03/11 12:00:00
id_106,7.6,3,6.6,2.1,virginica,2025/03/11 12:00:00
id_107,4.9,2.5,4.5,1.7,virginica,2025/03/11 12:00:00
id_108,7.3,2.9,6.3,1.8,virginica,2025/03/11 12:00:00
id_109,6.7,2.5,5.8,1.8,virginica,2025/03/11 12:00:00
id_110,7.2,3.6,6.1,2.5,virginica,2025/03/11 12:00:00
id_111,6.5,3.2,5.1,2,virginica,2025/03/11 12:00:00
id_112,6.4,2.7,5.3,1.9,virginica,2025/03/11 12:00:00
id_113,6.8,3,5.5,2.1,virginica,2025/03/11 12:00:00
id_114,5.7,2.5,5,2,virginica,2025/03/11 12:00:00
id_115,5.8,2.8,5.1,2.4,virginica,2025/03/11 12:00:00
id_116,6.4,3.2,5.3,2.3,virginica,2025/03/11 12:00:00
id_117,6.5,3,5.5,1.8,virginica,2025/03/11 12:00:00
id_118,7.7,3.8,6.7,2.2,virginica,2025/03/11 12:00:00
id_119,7.7,2.6,6.9,2.3,virginica,2025/03/11 12:00:00
id_120,6,2.2,5,1.5,virginica,2025/03/11 12:00:00
id_121,6.9,3.2,5.7,2.3,virginica,2025/03/11 12:00:00
id_122,5.6,2.8,4.9,2,virginica,2025/03/11 12:00:00
id_123,7.7,2.8,6.7,2,virginica,2025/03/11 12:00:00
id_124,6.3,2.7,4.9,1.8,virginica,2025/03/11 12:00:00
id_125,6.7,3.3,5.7,2.1,virginica,2025/03/11 12:00:00
id_126,7.2,3.2,6,1.8,virginica,2025/03/11 12:00:00
id_127,6.2,2.8,4.8,1.8,virginica,2025/03/11 12:00:00
id_128,6.1,3,4.9,1.8,virginica,2025/03/11 12:00:00
id_129,6.4,2.8,5.6,2.1,virginica,2025/03/11 12:00:00
id_130,7.2,3,5.8,1.6,virginica,2025/03/11 12:00:00
id_131,7.4,2.8,6.1,1.9,virginica,2025/03/11 12:00:00
id_132,7.9,3.8,6.4,2,virginica,2025/03/11 12:00:00
id_133,6.4,2.8,5.6,2.2,virginica,2025/03/11 12:00:00
id_134,6.3,2.8,5.1,1.5,virginica,2025/03/11 12:00:00
id_135,6.1,2.6,5.6,1.4,virginica,2025/03/11 12:00:00
id_136,7.7,3,6.1,2.3,virginica,2025/03/11 12:00:00
id_137,6.3,3.4,5.6,2.4,virginica,2025/03/11 12:00:00
id_138,6.4,3.1,5.5,1.8,virginica,2025/03/11 12:00:00
id_139,6,3,4.8,1.8,virginica,2025/03/11 12:00:00
id_140,6.9,3.1,5.4,2.1,virginica,2025/03/11 12:00:00
id_141,6.7,3.1,5.6,2.4,virginica,2025/03/11 12:00:00
id_142,6.9,3.1,5.1,2.3,virginica,2025/03/11 12:00:00
id_143,5.8,2.7,5.1,1.9,virginica,2025/03/11 12:00:00
id_144,6.8,3.2,5.9,2.3,virginica,2025/03/11 12:00:00
id_145,6.7,3.3,5.7,2.5,virginica,2025/03/11 12:00:00
id_146,6.7,3,5.2,2.3,virginica,2025/03/11 12:00:00
id_147,6.3,2.5,5,1.9,virginica,2025/03/11 12:00:00
id_148,6.5,3,5.2,2,virginica,2025/03/11 12:00:00
id_149,6.2,3.4,5.4,2.3,virginica,2025/03/11 12:00:00
id_150,5.9,3,5.1,1.8,virginica,2025/03/11 12:00:00
